date,open,high,low,close,closeadj,volume
2021-03-25,1.91,1.95,1.85,1.86,1.86,3499591
2021-03-26,1.9,1.925,1.73,1.83,1.83,6289431
2021-03-29,1.79,1.811,1.69,1.69,1.69,4721699
2021-03-30,1.75,1.88,1.69,1.85,1.85,3211709
2021-03-31,1.84,1.92,1.82,1.88,1.88,2081526
2021-04-01,1.9,1.95,1.86,1.92,1.92,1579388
2021-04-05,1.91,1.925,1.76,1.79,1.79,2657469
2021-04-06,1.8,1.86,1.77,1.78,1.78,1135536
2021-04-07,1.78,1.8,1.7,1.7,1.7,3234564
2021-04-08,1.73,1.77,1.7,1.73,1.73,1637503
2021-04-09,1.73,1.748,1.61,1.61,1.61,3547950
2021-04-12,1.6,1.62,1.375,1.41,1.41,7708011
2021-04-13,1.44,1.448,1.22,1.35,1.35,9982313
2021-04-14,1.37,1.5,1.36,1.46,1.46,6086407
2021-04-15,1.43,1.44,1.355,1.38,1.38,3385391
2021-04-16,1.36,1.47,1.3,1.38,1.38,4984318
2021-04-19,1.35,1.4,1.29,1.39,1.39,1700902
2021-04-20,1.37,1.39,1.315,1.37,1.37,1417714
2021-04-21,1.32,1.4,1.31,1.36,1.36,953710
2021-04-22,1.41,1.49,1.36,1.38,1.38,2875167
2021-04-23,1.41,1.498,1.4,1.48,1.48,1282534
2021-04-26,1.5,1.548,1.45,1.46,1.46,2168201
2021-04-27,1.46,1.483,1.39,1.39,1.39,1729809
2021-04-28,1.4,1.44,1.36,1.42,1.42,1810206
2021-04-29,1.43,1.435,1.33,1.34,1.34,1854364
2021-04-30,1.35,1.38,1.31,1.32,1.32,1137395
2021-05-03,1.32,1.35,1.255,1.32,1.32,2586473
2021-05-04,1.3,1.309,1.26,1.27,1.27,1355819
2021-05-05,1.28,1.28,1.25,1.25,1.25,2047406
2021-05-06,1.26,1.275,1.22,1.24,1.24,1825261
2021-05-07,1.23,1.25,1.22,1.22,1.22,1478015
2021-05-10,1.22,1.23,1.13,1.15,1.15,4300069
2021-05-11,1.13,1.37,1.11,1.28,1.28,12380943
2021-05-12,1.23,1.28,1.195,1.24,1.24,2366968
2021-05-13,1.2,1.26,1.12,1.14,1.14,3155315
2021-05-14,1.17,1.25,1.15,1.22,1.22,1619630
2021-05-17,1.22,1.33,1.22,1.28,1.28,1412376
2021-05-18,1.31,1.48,1.305,1.45,1.45,4927060
2021-05-19,1.41,1.48,1.36,1.41,1.41,1478562
2021-05-20,1.41,1.45,1.39,1.44,1.44,983548
